Your Weight(kg)?
85
62
61
92
49
48
68
52
71
84
69
69
49
55
75
95
67
41
58
77
61
52
81
95
81
91
68
41
89
52
61
109
65
72
63
66
65
102
85
81
78
76
64
78
74
68
98
76
93
81





























































































